"lat" "lon" "time"
"88" 51.506866 -0.142714 1174223363
"89" 51.506866 -0.142714 1174223036
"90" 51.506866 -0.142714 1174223339
"91" 51.506866 -0.142714 1174223360
"92" 51.506866 -0.142714 1174223378
"93" 51.506866 -0.142714 1174223403
"94" 51.506866 -0.142714 1174224003
"95" 51.506866 -0.142714 1174223342
"96" 51.506866 -0.142714 1174223041
"97" 51.506866 -0.142714 1174223281
"98" 51.506866 -0.142714 1174223350
"99" 51.506866 -0.142714 1174223448
"100" 51.506866 -0.142714 1174223429
"101" 51.506866 -0.142714 1174223385
"102" 51.506866 -0.142714 1174223276
"103" 51.506866 -0.142714 1174223291
"104" 51.506866 -0.142714 1174223431
"105" 51.506866 -0.142714 1174223332
"106" 51.506866 -0.142714 1174223312
"107" 51.506866 -0.142714 1174223358
"108" 51.506866 -0.142714 1174223168
"109" 51.506866 -0.142714 1174223421
"110" 51.506866 -0.142714 1174223786
"111" 51.506866 -0.142714 1174223265
"112" 51.506866 -0.142714 1174223744
"113" 51.506866 -0.142714 1174223138
"114" 51.506866 -0.142714 1174222124
"115" 51.506866 -0.142714 1174222337
"116" 51.506866 -0.142714 1174222761
"117" 51.506866 -0.142714 1174222139
"118" 51.506866 -0.142714 1174222118
"119" 51.506866 -0.142714 1174222856
"120" 51.506866 -0.142714 1174222351
"121" 51.506866 -0.142714 1174222848
"122" 51.506866 -0.142714 1174222826
"123" 51.506866 -0.142714 1174222272
"124" 51.506866 -0.142714 1174223023
"125" 51.510051 -0.134936 1173113895
"126" 51.508842 -0.137221 1175502422
"127" 51.510144 -0.134453 1176567358
"128" 51.510144 -0.134453 1176567419
"129" 51.510144 -0.134453 1176567406
"130" 51.510144 -0.134453 1176567426
"131" 51.510144 -0.134453 1176583736
"132" 51.510144 -0.134453 1176567512
"133" 51.510051 -0.134904 1172168696
"134" 51.509951 -0.13426 1179758886
"135" 51.510057 -0.13463 1182177083
"136" 51.510037 -0.134936 1182610178
"137" 51.510017 -0.134614 1181162872
"138" 51.510164 -0.134389 1182091032
"139" 51.506799 -0.14265 1186595108
"140" 51.509997 -0.134732 1178053980
"141" 51.508819 -0.141373 1189761304
"142" 51.510451 -0.135896 1188524898
"143" 51.510067 -0.134888 1193505262
"144" 51.510011 -0.1344 1183154149
"145" 51.510011 -0.1344 1183154159
"146" 51.510011 -0.1344 1185658311
"147" 51.510138 -0.134174 1196968761
"148" 51.509256 -0.136513 1197464539
"149" 51.503867 -0.149077 1197474193
"150" 51.503867 -0.149077 1197467807
"151" 51.50988 -0.134582 1196937764
"152" 51.50988 -0.134582 1196937861
"153" 51.510077 -0.134577 1196191356
"154" 51.510077 -0.135129 1198181600
"155" 51.508451 -0.137575 1200602911
"156" 51.508451 -0.137575 1200602264
"157" 51.508451 -0.137575 1200599015
"158" 51.508451 -0.137575 1200601222
"159" 51.508451 -0.137575 1200602154
"160" 51.508451 -0.137575 1200601644
"161" 51.509824 -0.13617 1202911114
"162" 51.509353 -0.135955 1202907690
"163" 51.509353 -0.135955 1202907682
"164" 51.510148 -0.134432 1203701004
"165" 51.510148 -0.134432 1203700981
"166" 51.510331 -0.134695 1205348500
"167" 51.510331 -0.134695 1205348482
"168" 51.510131 -0.134662 1208318279
"169" 51.510134 -0.134614 1208624236
"170" 51.510134 -0.134614 1208624243
"171" 51.510134 -0.134614 1208624144
"172" 51.510134 -0.134614 1208624187
"173" 51.510134 -0.134614 1208624131
